yr,consump,profits,wagepriv,invest,capital1,totinc,wagegovt,govt,taxnetx,wagetot,year,profits1,totinc1
1920,39.799999,12.7,28.799999,2.7,180.10001,44.900002,2.2,2.4000001,3.4000001,31,-11,,
1921,41.900002,12.4,25.5,-.2,182.8,45.599998,2.7,3.9000001,7.6999998,28.200001,-10,12.7,44.900002
1922,45,16.9,29.299999,1.9,182.60001,50.099998,2.9000001,3.2,3.9000001,32.200001,-9,12.4,45.599998
1923,49.200001,18.4,34.099998,5.1999998,184.5,57.200001,2.9000001,2.8,4.6999998,37,-8,16.9,50.099998
1924,50.599998,19.4,33.900002,3,189.7,57.099998,3.0999999,3.5,3.8,37,-7,18.4,57.200001
1925,52.599998,20.1,35.400002,5.0999999,192.7,61,3.2,3.3,5.5,38.600002,-6,19.4,57.099998
1926,55.099998,19.6,37.400002,5.5999999,197.8,64,3.3,3.3,7,40.700001,-5,20.1,61
1927,56.200001,19.799999,37.900002,4.1999998,203.39999,64.400002,3.5999999,4,6.6999998,41.5,-4,19.6,64
1928,57.299999,21.1,39.200001,3,207.60001,64.5,3.7,4.1999998,4.1999998,42.900002,-3,19.799999,64.400002
1929,57.799999,21.700001,41.299999,5.0999999,210.60001,67,4,4.0999999,4,45.299999,-2,21.1,64.5
1930,55,15.6,37.900002,1,215.7,61.200001,4.1999998,5.1999998,7.6999998,42.100002,-1,21.700001,67
1931,50.900002,11.4,34.5,-3.4000001,216.7,53.400002,4.8000002,5.9000001,7.5,39.299999,0,15.6,61.200001
1932,45.599998,7,29,-6.1999998,213.3,44.299999,5.3000002,4.9000001,8.3000002,34.299999,1,11.4,53.400002
1933,46.5,11.2,28.5,-5.0999999,207.10001,45.099998,5.5999999,3.7,5.4000001,34.099998,2,7,44.299999
1934,48.700001,12.3,30.6,-3,202,49.700001,6,4,6.8000002,36.599998,3,11.2,45.099998
1935,51.299999,14,33.200001,-1.3,199,54.400002,6.0999999,4.4000001,7.1999998,39.299999,4,12.3,49.700001
1936,57.700001,17.6,36.799999,2.0999999,197.7,62.700001,7.4000001,2.9000001,8.3000002,44.200001,5,14,54.400002
1937,58.700001,17.299999,41,2,199.8,65,6.6999998,4.3000002,6.6999998,47.700001,6,17.6,62.700001
1938,57.5,15.3,38.200001,-1.9,201.8,60.900002,7.6999998,5.3000002,7.4000001,45.900002,7,17.299999,65
1939,61.599998,19,41.599998,1.3,199.89999,69.5,7.8000002,6.5999999,8.8999996,49.399998,8,15.3,60.900002
1940,65,21.1,45,3.3,201.2,75.699997,8,7.4000001,9.6000004,53,9,19,69.5
1941,69.699997,23.5,53.299999,4.9000001,204.5,88.400002,8.5,13.8,11.6,61.799999,10,21.1,75.699997
